canton,lst_promedio,ndvi_promedio,ndbi_promedio
Alajuela,42.1132720432,0.525893565303,-0.197141749304
Alajuelita,38.066144913,0.547814294054,-0.222238289666
Alvarado,33.4786157979,0.600268124008,-0.255803841189
Aserrí,35.7954290855,0.62307438701,-0.260759241771
Atenas,41.3584008036,0.59137611713,-0.22370168328
Barva,33.1878422516,0.660390948066,-0.334836362361
Belén,44.6968171575,0.369005844508,-0.129217900972
Cartago,32.8784108237,0.593101846736,-0.249367127658
Curridabat,41.9239134989,0.357855349521,-0.116049238364
Desamparados,37.1949069118,0.534608553001,-0.21648009012
El Guarco,29.1580963376,0.656102894652,-0.29932153778
Escazú,39.392593108,0.503714697644,-0.210611903553
Flores,44.7505312163,0.386102600608,-0.130265029806
Goicoechea,35.3090354693,0.489211359171,-0.195217924945
Heredia,44.3970592568,0.310942567784,-0.102660517772
La Unión,36.6117333396,0.549859851677,-0.233698759129
Montes de Oca,38.2987372559,0.438386072143,-0.167660351641
Mora,36.4204560123,0.637523091188,-0.266707497853
Moravia,33.4086051128,0.475137406636,-0.222460591889
Oreamuno,36.308996669,0.573439988916,-0.216973828273
Paraíso,31.8153750146,0.727353775823,-0.318885247608
Poás,38.8340132156,0.634102581291,-0.27948603046
San Isidro,35.0888376666,0.576598487043,-0.24830082845
San José,44.8940721178,0.236218708835,-0.0597274585478
San Pablo,43.0599730582,0.425761776149,-0.156110293179
San Rafael,33.6988470653,0.629363665145,-0.304357150026
Santa Ana,39.2812439075,0.540858082371,-0.225999488861
Santa Barbara,36.3011449567,0.654825878628,-0.304569186805
Santo Domingo,41.0088385093,0.499629593731,-0.192756452083
Tibás,43.9847196816,0.237262008129,-0.0595789569965
Vázquez de Coronado,30.3444613554,0.545061565542,-0.254867466204
